m_name,n_args,t_creation,t_serialization,mem
msgspec,1,0.0471,0.0044,33.75
pydantic,1,0.1494,0.027,78.17
dataclass,1,0.0556,0.0119,39.11
msgspec,2,0.0607,0.0063,37.58
pydantic,2,0.1894,0.0406,82.96
dataclass,2,0.0727,0.0144,45.62
msgspec,3,0.0735,0.0082,43.64
pydantic,3,0.1887,0.0401,90.47
dataclass,3,0.0791,0.0149,52.67
msgspec,4,0.081,0.0102,50.79
pydantic,4,0.2019,0.0493,97.99
dataclass,4,0.09,0.0161,58.76
msgspec,5,0.0936,0.0113,57.91
pydantic,5,0.2182,0.0533,104.5
dataclass,5,0.1087,0.0204,65.89
msgspec,6,0.1201,0.0133,71.74
pydantic,6,0.2436,0.0576,120.01
dataclass,6,0.1352,0.021,80.07
msgspec,7,0.1265,0.0157,78.02
pydantic,7,0.2551,0.0623,125.53
dataclass,7,0.1358,0.022,86.14
msgspec,8,0.1327,0.0167,83.18
pydantic,8,0.2835,0.0704,132.04
dataclass,8,0.1525,0.0253,92.23
msgspec,9,0.1495,0.0193,89.34
pydantic,9,0.287,0.0761,137.56
dataclass,9,0.16,0.0251,97.43
msgspec,10,0.1636,0.0213,97.02
pydantic,10,0.3078,0.0849,146.17
dataclass,10,0.1733,0.0302,104.55
msgspec,11,0.1881,0.0246,123.31
pydantic,11,0.3389,0.0911,172.78
dataclass,11,0.2065,0.0311,131.77
msgspec,12,0.2186,0.0263,131.44
pydantic,12,0.3596,0.0956,181.38
dataclass,12,0.2275,0.0347,140.0
msgspec,13,0.2228,0.0275,139.66
pydantic,13,0.3897,0.1024,190.99
dataclass,13,0.2334,0.0351,149.19
msgspec,14,0.2367,0.0302,149.88
pydantic,14,0.4005,0.1071,201.6
dataclass,14,0.2504,0.0385,158.43
msgspec,15,0.2528,0.0315,158.07
pydantic,15,0.4289,0.1208,209.21
dataclass,15,0.2625,0.0402,166.66
msgspec,16,0.2635,0.0339,167.2
pydantic,16,0.4522,0.1251,219.82
dataclass,16,0.279,0.0404,176.88
msgspec,17,0.276,0.035,177.57
pydantic,17,0.4582,0.1278,228.41
dataclass,17,0.2941,0.0416,186.15
msgspec,18,0.294,0.0366,184.76
pydantic,18,0.4809,0.1337,236.04
dataclass,18,0.3038,0.0431,193.32
msgspec,19,0.3116,0.0405,192.94
pydantic,19,0.5048,0.1404,245.64
dataclass,19,0.3191,0.0473,202.53
msgspec,20,0.3502,0.0419,203.1
pydantic,20,0.5107,0.1466,255.24
dataclass,20,0.3342,0.0519,210.73
msgspec,21,0.3337,0.043,211.3
pydantic,21,0.5235,0.1517,264.85
dataclass,21,0.3398,0.0495,219.94
msgspec,22,0.3678,0.0513,259.32
pydantic,22,0.5874,0.1665,310.81
dataclass,22,0.3805,0.0583,267.6
msgspec,23,0.3846,0.0523,266.24
pydantic,23,0.5871,0.1747,316.93
dataclass,23,0.3856,0.0609,273.24
msgspec,24,0.3957,0.0554,273.45
pydantic,24,0.598,0.1774,326.61
dataclass,24,0.4016,0.062,282.53
msgspec,25,0.4077,0.0552,280.91
pydantic,25,0.623,0.1838,334.48
dataclass,25,0.4097,0.0649,287.88
msgspec,26,0.4296,0.0555,289.57
pydantic,26,0.6427,0.1931,343.59
dataclass,26,0.4282,0.0646,298.8
msgspec,27,0.4354,0.0582,299.11
