m_name,depth,t_creation,t_serialization,t_deserialization,mem,serialized_size
msgspec,1,0.0002,0.0,0.0012,0.18,0.01
pydantic,1,0.0022,0.0003,0.0008,1.57,0.02
dataclass,1,0.0004,0.0012,0.0001,-0.46,0.01
msgspec,2,0.001,0.0001,0.0001,0.04,0.03
pydantic,2,0.0028,0.0007,0.0016,1.35,0.04
dataclass,2,0.0018,0.0003,0.0002,0.06,0.03
msgspec,3,0.001,0.0001,0.0002,0.05,0.04
pydantic,3,0.0059,0.0015,0.0026,1.75,0.06
dataclass,3,0.0014,0.0003,0.0002,0.05,0.04
msgspec,4,0.0012,0.0002,0.0002,0.22,0.05
pydantic,4,0.0041,0.0019,0.003,0.95,0.08
dataclass,4,0.0015,0.0004,0.0003,0.23,0.05
msgspec,5,0.0013,0.0001,0.0002,0.02,0.07
pydantic,5,0.005,0.0021,0.0032,1.18,0.1
dataclass,5,0.002,0.0005,0.0005,0.07,0.07
msgspec,6,0.0011,0.0001,0.0003,0.0,0.08
pydantic,6,0.006,0.0028,0.0047,1.07,0.12
dataclass,6,0.0027,0.0006,0.0006,0.25,0.08
msgspec,7,0.0013,0.0002,0.0003,0.03,0.09
pydantic,7,0.0066,0.0033,0.0048,2.07,0.14
dataclass,7,0.002,0.0006,0.0006,0.21,0.09
msgspec,8,0.0014,0.0002,0.0004,0.01,0.11
pydantic,8,0.0075,0.0037,0.0063,1.62,0.16
dataclass,8,0.0021,0.0008,0.0007,-0.02,0.11
msgspec,9,0.0015,0.0004,0.0007,0.14,0.12
pydantic,9,0.0098,0.0055,0.0072,3.62,0.18
dataclass,9,0.0024,0.0009,0.0008,0.0,0.12
msgspec,10,0.0014,0.0003,0.0006,0.04,0.13
pydantic,10,0.0087,0.0046,0.0091,4.42,0.2
dataclass,10,0.0026,0.0011,0.0009,0.09,0.13
msgspec,11,0.0013,0.0002,0.0006,0.01,0.15
pydantic,11,0.0104,0.0051,0.0093,5.27,0.22
dataclass,11,0.0027,0.0012,0.001,-0.07,0.15
msgspec,12,0.0016,0.0003,0.0007,0.05,0.16
pydantic,12,0.0107,0.0056,0.011,6.83,0.24
dataclass,12,0.0047,0.0015,0.0014,-0.22,0.16
msgspec,13,0.0016,0.0006,0.0011,0.04,0.17
pydantic,13,0.0116,0.0063,0.0127,7.83,0.26
dataclass,13,0.0046,0.0015,0.0012,-0.3,0.17
msgspec,14,0.0017,0.0005,0.0008,0.32,0.19
pydantic,14,0.0119,0.009,0.0133,7.71,0.28
dataclass,14,0.0033,0.0017,0.0013,0.62,0.19
msgspec,15,0.0016,0.0004,0.0008,0.31,0.2
pydantic,15,0.0133,0.0071,0.0128,9.59,0.3
dataclass,15,0.0034,0.0028,0.0016,0.54,0.2
msgspec,16,0.0017,0.0004,0.0009,0.01,0.21
pydantic,16,0.0146,0.008,0.0136,9.85,0.32
dataclass,16,0.0041,0.0016,0.0014,0.54,0.21
msgspec,17,0.0025,0.0006,0.0009,0.55,0.23
pydantic,17,0.0155,0.0091,0.0153,12.43,0.34
dataclass,17,0.0038,0.0024,0.0019,0.6,0.23
msgspec,18,0.0019,0.0005,0.001,0.0,0.24
pydantic,18,0.0167,0.009,0.0175,11.11,0.36
dataclass,18,0.0038,0.0025,0.0019,0.64,0.24
msgspec,19,0.0019,0.0005,0.001,0.18,0.25
pydantic,19,0.0175,0.0095,0.0189,10.9,0.38
dataclass,19,0.0039,0.0026,0.0021,0.66,0.25
msgspec,20,0.0019,0.0006,0.0011,0.4,0.27
pydantic,20,0.0176,0.0101,0.0196,11.89,0.4
dataclass,20,0.0046,0.0022,0.002,0.52,0.27
msgspec,21,0.002,0.0008,0.0014,0.5,0.28
pydantic,21,0.0179,0.0111,0.0226,11.42,0.42
dataclass,21,0.0046,0.0022,0.0022,0.91,0.28
msgspec,22,0.0025,0.0007,0.0012,0.93,0.29
pydantic,22,0.0183,0.0109,0.0255,11.66,0.44
dataclass,22,0.0043,0.0023,0.0021,1.1,0.29
msgspec,23,0.0029,0.001,0.0013,0.95,0.31
pydantic,23,0.0193,0.0122,0.0286,12.46,0.46
dataclass,23,0.0046,0.0024,0.0024,0.87,0.31
msgspec,24,0.0022,0.0008,0.0013,0.98,0.32
pydantic,24,0.0225,0.0132,0.0256,11.74,0.48
dataclass,24,0.005,0.0029,0.0023,1.01,0.32
msgspec,25,0.003,0.0009,0.0014,1.11,0.33
pydantic,25,0.0227,0.0125,0.0376,14.17,0.5
dataclass,25,0.005,0.0029,0.0024,1.15,0.33
msgspec,26,0.0031,0.0013,0.0019,1.11,0.35
pydantic,26,0.0295,0.0128,0.0272,14.02,0.52
dataclass,26,0.0068,0.0039,0.0024,0.96,0.35
msgspec,27,0.0024,0.0009,0.0015,1.05,0.36
pydantic,27,0.03,0.0132,0.0319,13.76,0.54
dataclass,27,0.0055,0.003,0.0026,0.79,0.36
msgspec,28,0.0029,0.0011,0.0016,0.96,0.37
